,Unnamed: 0,date,bull score,bear score
0,0,2017-07-01,0.0,0.0
1,1,2017-07-02,0.5,0.25
2,2,2017-07-03,0.333333333,0.0
3,3,2017-07-04,0.0,0.25
4,4,2017-07-05,0.4,0.0
5,5,2017-07-06,0.166666667,0.166666667
6,6,2017-07-07,0.333333333,0.0
7,7,2017-07-08,0.2,0.2
8,8,2017-07-09,0.0,0.0
9,9,2017-07-10,0.0,0.0
10,10,2017-07-11,0.25,0.0625
11,11,2017-07-12,0.0,0.0
12,12,2017-07-13,0.076923077,0.076923077
13,13,2017-07-14,0.0,0.076923077
14,14,2017-07-15,0.0,0.0
15,15,2017-07-16,0.166666667,0.333333333
16,16,2017-07-17,0.0,0.0
17,17,2017-07-18,0.125,0.0625
18,18,2017-07-19,0.076923077,0.076923077
19,19,2017-07-20,0.2,0.066666667
20,20,2017-07-21,0.307692308,0.076923077
21,21,2017-07-22,0.0,0.0
22,22,2017-07-23,0.0,0.0
23,23,2017-07-24,0.0625,0.1875
24,24,2017-07-25,0.0,0.055555556
25,25,2017-07-26,0.076923077,0.076923077
26,26,2017-07-27,0.133333333,0.0
27,27,2017-07-28,0.222222222,0.0
28,28,2017-07-29,0.0,0.5
29,29,2017-07-30,0.0,0.0
30,30,2017-07-31,0.0,0.0
31,31,2017-08-01,0.0,0.0
32,32,2017-08-02,0.4,0.0
33,33,2017-08-03,0.307692308,0.0
34,34,2017-08-04,0.4,0.0
35,35,2017-08-06,0.0,0.0
36,36,2017-08-07,0.5,0.0
37,37,2017-08-08,0.4,0.0
38,38,2017-08-09,0.2,0.1
39,39,2017-08-10,0.2,0.2
40,40,2017-08-11,0.0,0.0
41,41,2017-08-15,0.5,0.0
42,42,2017-08-16,0.2,0.0
43,43,2017-08-17,0.0,0.666666667
44,44,2017-08-18,0.0,0.0
45,45,2017-08-19,0.0,0.0
46,46,2017-08-21,0.0,0.0
47,47,2017-08-22,0.0,0.0
48,48,2017-08-23,0.2,0.4
49,49,2017-08-24,0.142857143,0.0
50,50,2017-08-25,0.0,0.0
